Resume_str,Category
hr administrator marketing associate hr administrator summary dedicated customer service manager with 15 years of experience in hospitality and customer service management respected builder and leader of customer focused teams strives to instill a shared enthusiastic commitment to customer service highlights focused on customer satisfaction team management marketing savvy conflict resolution techniques training and development skilled multi tasker client relations specialist accomplishments missouri dot supervisor training certification certified by ihg in customer loyalty and marketing by segment hilton worldwide general manager training certification accomplished trainer for cross server hospitality systems such as hilton onq micros opera pms fidelio opera reservation system ors holidex completed courses and seminars in customer service sales strategies inventory control loss prevention safety time management leadership and performance assessment experience hr administrator marketing associate hr administrator dec 2013 to current company name city state helps to develop policies directs and coordinates activities such as employment compensation labor relations benefits training and employee services prepares employee separation notices and related documentation keeps records of benefits plans participation such as insurance and pension plan personnel transactions such as hires promotions transfers performance reviews and terminations and employee statistics for government reporting advises management in appropriate resolution of employee relations issues administers benefits programs such as life health dental insurance pension plans vacation sick leave leave of absence and employee assistance marketing associate designed and created marketing collateral for sales meetings trade shows and company executives managed the in house advertising program consisting of print and media collateral pieces assisted in the complete design and launch of the company s website in 2 months created an official company page on facebook to facilitate interaction with customers analyzed ratings and programming features of competitors to evaluate the effectiveness of marketing strategies advanced medical claims analyst mar 2012 to dec 2013 company name city state reviewed medical bills for the accuracy of the treatments tests and hospital stays prior to sanctioning the claims trained to interpret the codes icd 9 cpt and terminology commonly used in medical billing to fully understand the paperwork that is submitted by healthcare providers required to have organizational and analytical skills as well as computer skills knowledge of medical terminology and procedures statistics billing standards data analysis and laws regarding medical billing assistant general manager jun 2010 to dec 2010 company name city state performed duties including but not limited to budgeting and financial management accounting human resources payroll and purchasing established and maintained close working relationships with all departments of the hotel to ensure maximum operation productivity morale and guest service handled daily operations and reported directly to the corporate office hired and trained staff on overall objectives and goals with an emphasis on high customer service marketing and advertising working on public relations with the media government and local businesses and chamber of commerce executive support marketing assistant jul 2007 to jun 2010 company name city state provided assistance to various department heads executive marketing customer service human resources managed front end operations to ensure friendly and efficient transactions ensured the swift resolution of customer issues to preserve customer loyalty while complying with company policies exemplified the second to none customer service delivery in all interactions with customers and potential clients reservation front office manager jun 2004 to jul 2007 company name city state owner partner dec 2001 to may 2004 company name city state price integrity coordinator aug 1999 to dec 2001 company name city state education n a business administration 1999 jefferson college city state business administration marketing advertising high school diploma college prep studies 1998 sainte genevieve senior high city state awarded american shrubel leadership scholarship to jefferson college skills accounting ads advertising analytical skills benefits billing budgeting clients customer service data analysis delivery documentation employee relations financial management government relations human resources insurance labor relations layout marketing marketing collateral medical billing medical terminology office organizational payroll performance reviews personnel policies posters presentations public relations purchasing reporting statistics website,HR
hr specialist us hr operations summary versatile media professional with background in communications marketing human resources and technology experience 09 2015 to current hr specialist us hr operations company name city state managed communication regarding launch of operations group policy changes and system outages designed standard work and job aids to create comprehensive training program for new employees and contractors audited job postings for old pending on hold and draft positions audited union hourly non union hourly and salary background checks and drug screens conducted monthly new hire benefits briefing to new employees across all business units served as a link between hr managers and vendors by handling questions and resolving system related issues provide real time process improvement feedback on key metrics and initiatives successfully re branded us hr operations sharepoint site business unit project manager for rfi rfp on background check and drug screen vendor 01 2014 to 05 2015 it marketing and communications co op company name city state posted new articles changes and updates to corporate sharepoint site including graphics and visual communications researched and drafted articles and feature stories to promote company activities and programs co edited and developed content for quarterly published newsletter provided communication support for internal and external events collaborated with communication team media professionals and vendors to determine program needs for print materials web design and digital communications entrusted to lead product service and software launches for digital asset management tool marketing toolkit website and executive tradeshows calendar created presentations for management and executive approval to ensure alignment with corporate guidelines and branding maintained the mysikorsky sharepoint site and provided timely solutions to mitigate issues created story board and produced video for annual it all hands meeting 10 2012 to 01 2014 relationship coordinator marketing specialist company name city state partnered with vendor to manage the in house advertising program consisting of print and media collateral pieces coordinated pre show and post show activities at trade shows managed marketing campaigns to generate new business and to support partner and sales teams ordered marketing collateral for meetings trade shows and advisors improved administered and modified marketing programs to increase product awareness assisted in preparing internal promotional publications managed marketing material inventory and supervised distribution of publications to ensure high quality product output coordinated marketing materials including brochures promotional materials and products partnered with graphic designers to develop appropriate materials and branding for brochures used tracking and reporting systems for sales leads and appointments 09 2009 to 10 2012 assistant head teller company name city state received an internal audit score of 100 performed daily and monthly audits of atm machines and tellers educated customers on a variety of retail products and available credit options consistently met or exceeded quarterly sales goals promoted products and services to customers while maintaining company brand identity implemented programs to achieve and exceed customer and company participation goals organized company sponsored events on campus resulting in increased brand awareness coached peers on the proper use of programs to improve work flow efficiency utilized product knowledge to successfully sell to and refer clients based on individual needs promoted marketing the grand opening of new branch locations to strengthen company brand affinity organized company sponsored events resulting in increased brand awareness and improved sales coached peers on the proper use of programs to increase work flow efficiency senior producer 2014 shu media exchange company name city state planned and executed event focusing on connecticut s creative corridor growth of industry and opportunities that come with development a panel of industry professionals addressed topics related to media and hosted a question and answer session for approximately 110 attendees following the forum guests were invited to engage in networking and conversation at a post event reception education 2014 master of arts corporate communication public relations sacred heart university city state 2013 bachelor of arts relational communication western connecticut state university city state skills adobe photoshop adp asset management branding brochures content customer care final cut pro graphics graphic hr illustrator indesign innovation inventory lotus notes marketing marketing materials marketing material materials microsoft office sharepoint newsletter presentations process improvement project management promotional materials publications quality real time recruitment reporting rfp sales stories employee development video web design website articles,HR
hr director summary over 20 years experience in recruiting 15 plus years in human resources executive management 5 years of hris development and maintenance 4 years working in a healthcare enviroment skills recruiting fmla eeo flsa hris development benefit administration policy development web page development accomplishments kansas health institute health outcomes for the state of kansas 1999 memberships and accolades project management institute member shrm chamber of commerce 1999 friends university president s honor roll 1997 friends university dean s honor roll student liaison for friends university topeka member of mother to mother member of the topeka advertising federation several production pieces created nominated for addy awards received recognition for outstanding customer service assistance by the state of kansas travel and tourism department ashhra kahhr acm additional information leading change i have been instrumental in development and implementation of the adjutant general s retention research project involving survey development and analyzing the results of the surveys to present to the adjutant general to help retain the qualified talent of the departments i have been tasked with working with the federal security manager for the joint forces headquarters in developing policies procedures and processes to ensure that all current and new state employees have the appropriate security clearances for the position held per the federal government requirements while at lmis i lead the job vacancy project and was able to produce results in less time and man hours than in years before with staff that were inexperienced in the jvc process and procedures i have been responsible to develop plan and implement database programs for the last three positions i have held these were designed to cultivate involve renew contact and promote active and potential employees these databases were used for reporting fte usage budget management and turnover reports while working in the healthcare field i took the initiative in creating a local website that was used to receive and respond to requests for information and assistance in marketing and promoting the healthcare facility along with recruitment of potential employees as human resource coordinator in the healthcare field i managed the front office personnel reduced contract labor costs for nursing staff and implemented a unique pay structure to increase prn staff utilization i continually think outside the box to create and develop strategies to resolve issues faced in my work environment in my current position i have met and exceeded all hiring goals for the firm this resulted in our client increasing the business transferred to our location experience hr director 09 2016 to current company name city state developed new website for agency payroll processing changes and implementation of new hris system oversaw the employment process taking the lead role in clinician physician and management team recruitment initiatives developed maintain and interpret hr policy authored the employee handbook provided coaching and support to management and supervisors on performance management and other related issues maintained in depth knowledge of legal requirements related to day to day management of employees reducing legal risks and ensuring regulatory compliance evaluated and recommend changes to the employee benefits plan oversaw day to day administration of benefits hr director 04 2009 to 09 2016 company name city state develped supervisory education shro website shro hris system and automation of payroll processing established and directed a comprehensive statewide human resource program for both classified and unclassified state employees positions in the adjutant general s department resolved non routine hr related issues associated as they arose reviewed documents and approved all hires and promotions reviews and approved modified and or disapproved wage salary requests to hire individuals above the pre established minimum classified or unclassified pay rate reviewed any significant changes to position descriptions and determined if reclassification should be pursued reviewed position descriptions for new positions and determined the appropriate wage range based on comparable classified position if they exist consulted with the tag and both military and state manager supervisors in order to provide technical and common sense guidance on properly addressing sensitive or complex employee and organizational issues aided them in achieving their ever changing program goals and provided innovative ideas for staffing served as the administration s management representative in labor negotiations with the local kape unit at the 190th fire department hr manager sr recruiter 10 2003 to 06 2006 company name city state created an hris tracking system used for recruitment responsible for ramp up and hiring of all customer service agents and other positions as needed placement and development of all advertising met and exceeded all hiring goals responsible for hiring senior management to cover such duties as team managers payroll quality control responsible for recruitment of 950 new employees meeting and exceeded goals set coordinated and facilitated manpower planning recruitment and retention career development and training staff relations compensation and benefits compliance with local state and federal statutory regulations public programs and regulatory audit procedures served as a resource person to administration mid level management and staff regarding hr related human resources coordinator 03 1996 to 02 2000 company name city state developed hris database from ground up for employee records and monitoring instrumental in reducing the use of agency staffing needs for hospital coordinated and facilitates manpower planning recruitment and retention career development and training staff relations compensation and benefits compliance with local state and federal statutory regulations public programs and regulatory audit procedures served as the hr resource source for administration mid level management and staff coordinated hiring procedures appraisals pay increases promotions transfers terminations job postings and all corrective actions one person office responsible for all osha work comp benefits payroll etc education and training master s degree information management systems 05 2005 friends university city state united states 3 5 credits earned 62 semester hours information management systems bachelor of science organizational management 05 2000 friends university city state united states 4 0 credits earned 62 semester hours activities and honors topeka chamber of commerce ambassador kansas hospital association health care human resources member shrm legislative liaison skills desktop publishing newsletter productions database management leadership training osha fmla workers compensation pagemaker agency automation back up benefits budget management corel suite harvard graphics access excel microsoft publisher ms word quark express quattro pro strategic planning web page development wordperfect,HR
hr specialist summary dedicated driven and dynamic with over 20 years of customer service expertise motivated to maintain customer satisfaction and contribute to company success with an emphasis in personnel and process management solid team player with proven ability to establish rapport with clients skills type 50 wpm and 10 key by touch microsoft programs word excel access outlook powerpoint personnel management and telephone inquiries specialist excellent customer service skills with call quality and customer satisfaction as primary focus inbound and outbound contact center experience excellent oral and written presentation and seasoned in conflict resolution experience hr specialist may 2007 to oct 2008 company name city state accenture peopleline email management team received inbound emails from clients as initial point of contact to answer questions related to hr policies practices or to resolve issues helped the client by answering their inquiry resolving their issue or routing their email to a caseworker for resolution recorded and tracked the client issue via the case management tool from initiation to resolution maintained records of customer interactions and transactions by documenting details of inquiries complaints and comments as well as actions taken customer service representative mar 2007 to feb 2008 company name city state maintained records of customer interactions and transactions by documenting details of inquiries complaints and comments as well as actions taken developed and implemented filing and delivery methods for fmla and short term disability documentation to respective global clientele facilitated communication for the absence management team to clients and internal departmental teams organized and maintained payroll and people services database management system communicated to clients and internal external departmental teams mitigated risks and resolutions regarding policy transactions and other queries call centre shift supervisor aug 2003 to mar 2007 company name city state answered and dispatched calls for medical and professional clients in the san antonio and surrounding areas provided call monitoring to ensure staff was adhering to quality call control maintained on call books for various medical staff to ensure that the correct staff was contacted during after hours and weekends education and training certificate of completion business administration 1997 texas a m extension services city state skills 10 key by touch type 50 wpm filing access microsoft excel microsoft outlook microsoft powerpoint microsoft word,HR
hr manager skill highlights hr skills hr department startup three new organization startups employment law fmla ada eeo wc mediation advocacy hr policies procedures staff recruitment retention salary negotiations employee relations benefits administration unemployment administration worker s compensation administration orientation on boarding hris technologies training development performance management organizational development hr program project management hris applications lawson paychex kronos adp ms office word excel powerpoint publisher access visio outlook professional experience hr manager jan 2015 to current company name city state manage the human resource function for e cycle s corporate office as well as their fulfillment and data center consisting of benefits and compensation administration payroll employee relations policy compliance and recruitment key results foster an associate oriented culture that emphasizes continuous improvement team work high performance and quality ensure organizational conformation with applicable hr related regulations and statutes as well as organizational procedures and policies implement hr programs and policies as needed by the organization identify evaluate and resolve human relations employee morale work performance and organizational productivity concerns develop staffing strategies and implement programs and plans to identify and cultivate effective and appropriate sources for employees at all job levels create or assist in the creation of associate training and organizational development programs develop and manage the annual associate review process insure that regional staff is included in corporate activities and feel like they are a part of the team responsible for the human resource management system s and provide staff and management with essential reporting information in order to help them in managing their associate resources recruit and retain top quality associates for each department this includes recruiting nationally and in some cases at an executive level create or assist in the creation of compensation plans employee benefit administration consisting of health dental vision vstd vltd and 401 k successful in reducing the health benefit expected increase from 46 to 5 during my first month with the organization sr hr manager jan 2013 to jan 2015 company name city state as a leader within the hr and operations team i was instrumental in partnering with local leadership and corporate hr to develop and implement hr policies processes technology and services that are aligned to support our company s strategic initiatives in order to have a successful start up key results coordinated efforts to recruit and hire over 220 full time hourly associates and 27 management level employees while converting agency staff to full time instrumental in managing and creating the set up of the hr business office which included development of personnel files new hire practices payroll and hr reporting manage by providing direction and development to hr and develop the hr delivery as business continued to grow strategic business partner to the site director as well as other operations leaders in support of start up operations day to day operations and peak season planning staffing and operations worked successfully with local temporary agencies in order to staff to our peak volume which consisted of over 1800 total associates delivering over 3 million units from black friday to christmas influence hr strategy and execute tactical direction for the facility within the overall hr strategy ensure internal consistency of hr policies and procedures across multiple locations interact with the corporate hr team for exempt staffing compensation and benefits and other functional groups in order to support operations maintain knowledge of hr policies and procedures laws and regulations industry trends and developments to ensure accurate information is being communicated throughout the company develop a work environment that demonstrates fanatics core values provide strategic direction on leadership development and workforce planning initiatives within the fulfillment center coach senior business leaders and front line supervisors on hr polices procedures and best practices in dealing with employee relation issues such as poor performance attendance and behavior and conduct issues championed a fun friendly and approachable hr team of professionals ensure integrity maintenance and confidentiality of all personnel records in accordance with policies and procedures and applicable federal and state laws improve hr service delivery in line with overall business performance expectations look for ways to innovate systems for hr delivery people process technology manage the hr function with measurable objectives and communicate the bottom line impact of hr delivery to the business hr director jan 2008 to jan 2012 company name city state as a member of the executive team i was directly and solely responsible for providing situation appropriate and policy compliant human resource support for 2 separate business units for a community based non profit health care organization with approximately 184 employees key results played a key role in ensuring the successful merge of five separate private physician practices into one non profit organization structured and implemented programs and policies in the areas of compensation structures benefits packages incentive compensation plans and physician employment contracts fostered a teamwork open door environment conducive to positive dialogue across the organization with an 85 overall employee satisfaction rating responsible for maintaining staffing levels for all positions within the health center which consisted of full time part time and on call staff negotiated more than 100 salary offers at both the exempt and nonexempt level successful recruitment of physicians ceo coo cfo cmo and various managers wrote employee manual covering issues including disciplinary procedures code of conduct fmla attendance policies and benefits information implemented employee satisfaction surveys and presented results to board of directors introduced company s first formal performance review program developed job descriptions across all levels and categories shadowed and interviewed employees to construct an accurate picture of the duties and skills required for each position hr representative jan 2001 to jan 2007 company name city state nation s largest small box discount retailer fulfilled a broad range of hr generalist functions including recruiting administering benefits overseeing disciplinary action and managing hr support staff key results trained management team on interviewing techniques and best practices conducted workshops and one on one coaching sessions that contributed to sound hiring decisions instrumental in the start up of the new 1 2 million sq ft state of the art distribution center hiring over 400 plus employees within the first year that consisted of part time full time and temporary staff overseen morale boosting programs including special events annual employee picnic attendance and safety banquets etc that increased employee satisfaction and productivity investigated all employee relation issues such as sexual harassment discrimination and inappropriate conduct by either hourly employees and or management staff responsible for staffing all hourly positions which consisted of maintaining 878 hourly employees among three shifts education bachelor of business administration mount vernon nazarene university city state professional affiliations society for human resource management shrm muskingum valley human resource management association skills ada adp art agency benefits benefits administration coach coaching conflict resolution continuous improvement contracts decision making delivery direction employee relations special events financial functional hiring hris human resource management human resource human resources hr human relations kronos lawson leadership leadership development law legal compliance director managing management reporting mediation access excel ms office office outlook powerpoint publisher win word negotiating negotiations organizational development organizational payroll peak performance management personnel policies problem solving processes profit implement programs project management quality quantitative analysis recruitment recruiting reporting safety sound staff development staffing strategy strategic structured surveys team work teamwork visio vision workshops,HR
hr generalist summary dedicated and focused administrative assistant who excels at prioritizing completing multiple tasks simultaneously and following through to achieve project goals seeking a role of increased responsibility and authority highlights microsoft office proficiency excel spreadsheets meticulous attention to detail results oriented self directed time management professional and mature self starter legal administrative support experience 11 2008 to 08 2014 hr generalist company name city state managed visa related employment processes for all non immigrant faculty and staff improved productivity and enhanced visa related services improved operational structure by developing guidelines and tools for internal and external administration of non immigrant employment procedures reduced internal employment authorization processing times by approximately 30 percent prepared reviewed and submitted petitions for uscis adjudication maintained electronic database of petitions filed served as a university point of contact for uscis developed and presented university with guidelines to adhere to mandates presented by uscis usdhs and usdos presented monthly orientation created edited and internally distributed bi annual newsletter maintained hr website 05 2000 to 11 2008 coordinator company name city state provided advice to faculty staff scholars and students by interpreting complex regulatory guidelines thoroughly prepared and filed non immigrant petitions to uscis for non immigrant students and employees maintained highly confidential and sensitive data identified as designated school official for non immigrant student programs and alternate responsible officer overseeing the j 1 exchange visitor program for j 1 employees assisted foreign nationals in obtaining the h 1b visa status for employment in the u s coordinated bi annual student orientation created training programs supervised and trained volunteers supervised administrative assistant and student employees managed and coordinated student activities 05 2000 to 11 2008 coordinator international student advisor secretary company name city state drafted meeting agendas supplied advance materials and executed follow up for meetings and team conferences managed the receptionist area including greeting visitors and responding to telephone and in person requests for information designed electronic file systems and maintained electronic and paper files handled all media and public relations inquiries planned meetings and prepared conference rooms wrote reports and correspondence from dictation and handwritten notes dispersed incoming mail to correct recipients throughout the office made copies sent faxes and handled all incoming and outgoing correspondence created powerpoint presentations used for business development organized files developed spreadsheets faxed reports and scanned documents managed daily office operations and maintenance of equipment education 8 2013 aba approved paralegal program certification 8 2013 ba justice studies montclair state university city state justice studies 06 2002 as psychology essex county college city state psychology certificate in shrm essentials of human resource management 6 2013 program highlights performance management critical analysis recruitment and selection strategic planning effective human resources management establishing competencies new york institute of technology city publications identified by the department of state as an alternate responsible officer for exchange visitor programs and recognized by united states citizenship and immigration services as designated school official conference presenter national association of foreign student advisors nafsa 2012 appointed acting assistant director coordinator of international students 2000 she brings calm attention to detail and an approach that places the customer as the number one focus in any activity or service this style works it benefits all of us 2008 annual performance evaluation njit overall performance level outstanding lisa is a quality employee she often works beyond contractual hours to complete a task this office could not operate in its current modus operandi without her efforts 2008 annual performance evaluation merit proposal njit thank you for your steadfast style and contributions you make to this office you are truly valued 2006 annual performance evaluation notification njit overall performance level commendable outstanding she is calm humorous personable and a model of patience 2004 annual performance evaluation njit overall performance level outstanding skills administrative administrative assistant bi conferences database special events filing human resource management hr human resources management excel exchange microsoft office office outlook powerpoint word newsletter paralegal performance management processes publications recruitment strategic planning supervisor training programs travel arrangements visio website workshops annual reports,HR
hr manager summary human resources manager extensive background in administrative duties including experience in implementing staff development and training mediation conflict resolution benefits and compensation training hr records management hr policies development and legal compliance demonstrated success in developing teambuilding programs and writing personnel manuals coordinating special programs job descriptions and online state mandated training highlights university events special programs prepare agendas fmla ada eeo wc mediation advocacy hris technologies tesol teacher for university staff employee relations web design using reddot and sharepoint hr program project management microsoft office suites orientation on boarding training development performance management organizational development hr policies procedures publisher indesign quark accomplishments enjoy 5k runs walks of note professional development complete ongoing training in the areas of compensation and benefits employee and labor relations leaves of absence customer service supervisory training and workplace safety security created publications and advertisements for twu and thehra conferences invited as guest speaker for staff development days on the twu houston campus and several affiliated conferences developed online state mandated training for twu employees experience hr manager 01 2007 to current company name city state perform professional administrative work involving the development administration and coordination of a comprehensive series of training and development opportunities for university staff and faculty work is performed with considerable independent judgment and wide latitude under the limited supervision of the director of human resources professional services key results perform professional administrative work involving the development administration and coordination of a comprehensive series of training and development opportunities for university staff and faculty implementation of tesol program teaching english to speakers of other languages conduct exit interviews with staff employees and develops procedures for resolving problems discovered through exit interviews responsible for implementation maintenance and training for the staff performance evaluation system coordinate service awards staff awards and retirement recognition programs responsible for the coordination of new employee orientation maintain the calendar plan for scheduling special events training schedules and new employee orientation schedules web spinner for human resources newsletters using reddot and sharepoint responsible for establishing job standards for subordinate staff and effectively evaluation staff under charge manage and prioritize additional tasks that have been assigned by associate vice president hr representative iii 01 2001 to 01 2007 company name city state promoted to fulfill a broad range of hr functions including training employees on newly implemented peoplesoft time and labor module administering their fmla program and managing hr records key results trained over 250 time keepers on time keeping techniques and best practices conducting workshops and one on one coaching sessions that contributed to a successful implementation of peoplesoft leadership development training for faculty and staff translated and facilitated training in spanish designed and refined course material to the needs of specific departments assisted in coordination of special programs events restaurant manager trainer 01 1993 to 01 2001 company name city state responsible for the overall business performance of managing the restaurant and training all new employees key results encouraged guest s satisfaction special events responsible for hiring and training wait staff bar staff and kitchen staff translated and facilitated training in spanish designed and refined training material to the needs of specific areas assisted in maintaining the quality and standard of food health service and safety education bachelor of science bs sociology 1999 texas woman s university city state sociology affiliations society for human resource management shrm north texas society for human resource management ntshrm texas higher education in human resources association thehra international tefl and tesol training membership ittt denton high school girls softball association skills ada administrative skills administrative coaching employee relations training employees english special events hiring hris human resources hr indesign leadership development director managing mediation microsoft office suites publisher sharepoint newsletters organizational development peoplesoft performance management policies project management quality quark managing the restaurant safety scheduling spanish supervision teacher teaching training material web design workshops,HR
hr manager professional summary senior hr professional with a continuous improvement approach to building and supporting organizations driven hr manager bringing an innovative approach to human resource management while creating a team driven environment that fosters room for development and growth dedicated hr professional with strong grasp of employment laws compliance issues and benefits plans successfully introduces process improvements and staff development initiatives to drive corporate goal attainment creative business partner dedicated to developing unique employee orientation and training programs that will generate a loyal and knowledgeable staff skills administrative adp backup benefits bookkeeping clarify competitive customer service database delivery documentation employee relations filing government hr human resources human resource insurance job analysis labor relations law enforcement team building letters market meetings mail office payroll processing payroll personnel policies processes project management proposal quality recruiting recruitment safety strategy employee handbooks vendor management vendor management vision year end work history hr manager 06 2016 to current company name city state developed and evolved the department s mission workflows and structure while continuously developing and improving processes in an ever changing environment implemented the company s first sourcing tracking system built a comprehensive employee recruiting strategy allowing me to fill 50 positions in a period of 9 months cut cost per hire and reduced average days to fill positions achieved department goal by reducing turnover placed new benefits broker and coordinated the implementation of new benefit programs ensuring they were current and competitive educated and advised employees on group health plans voluntary benefits and 401 k retirement plans managed all aspects of leave administration including employee notifications and vendor management disability programs and health benefits developed new process for employee evaluation which resulted in marked performance improvements handled understaffing disputes terminating employees and administering disciplinary procedures resolved employment related disputes through proactive communication offered fair and equitable compensation by comparing current salaries with market pay audited workplace employee and management policies and procedures developed and enforced company policy and procedures relating to all phases of human resources activity sr hr generalist 01 2015 to 05 2016 company name city state acted as a liaison and maintained open lines of communication between directors middle management and front line employees developed company personnel policies standard operating procedures and employee handbooks established and monitored employee pay scales audited workplace employee and management policies and procedures educated and advised employees on group health plans voluntary benefits and 401 k retirement plans built a comprehensive employee recruiting strategy managed the employee rewards programs conducted job analysis and job evaluations resulting in quality job specifications developed innovative new employee orientation programs including safety training shadowed employees to determine an accurate description of the duties and skills required for each position developed and enforced company policy and procedures relating to all phases of human resources activity managed all aspects of leave administration including employee notifications and vendor management disability programs and health benefits benefits administrator 01 2014 to 06 2014 company name city state closely partnering with brokers to minimize year over year cost increases for medical dental and vision health plans organized district wide benefits fair provided hands on customer service to 2500 district employees and retirees educated and advised employees on group health plans voluntary benefits and retirement plans human resources supervisor 08 2013 to 02 2014 company name city state led a comprehensive safety training for 55 staff members handled understaffing disputes terminating employees and administering disciplinary procedures resolved employment related disputes through proactive communication coordinated work activities of subordinates and staff relating to employment compensation labor relations and employee relations developed company personnel policies standard operating procedures and employee handbooks developed and facilitated all new hire orientations audited workplace employee and management policies and procedures educated and advised employees on group health plans voluntary benefits and 401 k retirement plans built a comprehensive employee recruiting strategy developed innovative new employee orientation programs including safety training acted as liaison between employees and insurance carriers to resolve problems and clarify benefits human resources generalist administrative assistant 02 2013 to 08 2013 company name city state conducted background checks on candidates by obtaining information from law enforcement officials previous employers and references evaluated timecards for accuracy on the regular and overtime hours updated presentation documents for the compensation committee to review captured key feedback from employees during exit interviews supported human resources staff with new hire orientations and monthly departmental meetings implemented a tracking database for employee professional development and licensure renewal credits coordinated employment offers with management and extended offers to selected candidates researched all payroll cobra disability and fmla issues reviewed human resource paperwork for accuracy and completeness by verifying collecting and correcting additional data managed all aspects of leave administration including employee notifications and vendor management disability programs and health benefits developed company personnel policies standard operating procedures and employee handbooks conducted employment verifications and investigations built a comprehensive employee recruiting strategy shadowed employees to determine an accurate description of the duties and skills required for each position developed and enforced company policy and procedures relating to all phases of human resources activity acted as liaison between employees and insurance carriers to resolve problems and clarify benefits processed unemployment claims and acted as the company representative at unemployment hearings human resources assistant 09 2008 to 02 2013 company name city state performed various administrative functions including filing paperwork delivering mail sorting mail office cleaning and bookkeeping managed employee exit interviews and paperwork provided backup payroll if needed recruited and screened qualified potential employees developed and facilitated all new hire orientations conducted employment verifications and investigations facilitated the criminal background check process for new hires conducted background checks on candidates by obtaining information from law enforcement officials previous employers and references supported human resources staff with new hire orientations and monthly departmental meetings implemented a tracking database for employee professional development and licensure renewal credits entered personnel and subcontractor data into a central database coordinated and conducted new hire pre interviews assisted management staff in annual year end processes and data audits accurately prepared government compliance reports and proposal requests for employee data addressed and resolved general payroll related inquires sent notices to employees and subcontractors regarding expiring documentation reviewed human resource paperwork for accuracy and completeness by verifying collecting and correcting additional data completed employee employment verifications and unemployment paperwork in a timely manner reviewed and corrected job offer letters for completeness and accuracy before approving their delivery education bachelor of science business management 2009 university of phoenix san jose learning center city state business management mba 2010 university of phoenix city state mba human resources 2018 notre dame de namur university city state human resources,HR
